<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20190114,172100,1974.5,1975,1974.5,1975,193
YNDX,1,20190114,172200,1975,1977,1975,1975,1061
YNDX,1,20190114,172300,1975,1976,1975,1976,44
YNDX,1,20190114,172400,1976,1976,1975,1975,4
YNDX,1,20190114,172600,1976,1976,1976,1976,2
YNDX,1,20190114,172700,1976,1977,1976,1977,177
YNDX,1,20190114,172800,1977,1977,1975,1975,27
YNDX,1,20190114,172900,1976.5,1976.5,1976.5,1976.5,5
YNDX,1,20190114,173000,1975,1975,1972.5,1973.5,409
YNDX,1,20190114,173100,1975,1975,1975,1975,8
YNDX,1,20190114,173200,1973.5,1973.5,1970.5,1972.5,652
YNDX,1,20190114,173300,1970.5,1970.5,1970.5,1970.5,35
YNDX,1,20190114,173400,1972.5,1972.5,1970.5,1970.5,129
YNDX,1,20190114,173500,1971,1972,1970.5,1972,254
YNDX,1,20190114,173600,1971.5,1973.5,1971.5,1973.5,96
YNDX,1,20190114,173700,1973.5,1973.5,1970,1971,1634
YNDX,1,20190114,173800,1971,1971,1968,1969.5,1710
YNDX,1,20190114,173900,1969.5,1973,1969.5,1973,212
YNDX,1,20190114,174000,1973,1973.5,1972,1972,83
YNDX,1,20190114,174100,1973.5,1976.5,1973.5,1976.5,1176
YNDX,1,20190114,174200,1976.5,1976.5,1973.5,1975.5,287
YNDX,1,20190114,174300,1975.5,1975.5,1973,1973,258
YNDX,1,20190114,174400,1972.5,1973,1969.5,1971.5,669
YNDX,1,20190114,174500,1974,1976,1970.5,1970.5,318
YNDX,1,20190114,174600,1970.5,1971.5,1970,1970,650
YNDX,1,20190114,174700,1970,1972,1969,1972,348
YNDX,1,20190114,174800,1972,1972,1968,1968,407
YNDX,1,20190114,174900,1969.5,1970,1967,1970,1637
YNDX,1,20190114,175000,1970.5,1970.5,1970.5,1970.5,4
YNDX,1,20190114,175100,1969,1972,1968.5,1972,347
YNDX,1,20190114,175200,1972,1974,1972,1974,69
YNDX,1,20190114,175300,1974,1975,1972.5,1974,59
YNDX,1,20190114,175400,1974.5,1974.5,1974,1974,198
YNDX,1,20190114,175500,1971.5,1972,1970.5,1970.5,255
YNDX,1,20190114,175600,1970.5,1970.5,1970,1970,773
YNDX,1,20190114,175700,1970,1970,1969.5,1970,101
YNDX,1,20190114,175800,1970,1970,1970,1970,100
YNDX,1,20190114,175900,1971.5,1971.5,1969,1971,213
YNDX,1,20190114,180000,1969.5,1971.5,1967.5,1969,1856
YNDX,1,20190114,180100,1968,1969,1967.5,1969,160
YNDX,1,20190114,180200,1968,1968,1966,1966.5,3256
YNDX,1,20190114,180300,1966,1967,1965,1966,2353
YNDX,1,20190114,180400,1966.5,1967.5,1966.5,1967,28
YNDX,1,20190114,180500,1968,1968,1968,1968,61
YNDX,1,20190114,180600,1967,1968.5,1967,1968.5,254
YNDX,1,20190114,180800,1968.5,1969.5,1968.5,1969.5,327
YNDX,1,20190114,180900,1969,1969,1969,1969,32
YNDX,1,20190114,181000,1969,1970,1969,1969,214
YNDX,1,20190114,181100,1970,1970.5,1969,1969,13
YNDX,1,20190114,181200,1969.5,1970.5,1969.5,1970.5,6
YNDX,1,20190114,181300,1970,1970.5,1970,1970.5,26
YNDX,1,20190114,181400,1970.5,1971,1970,1970,210
YNDX,1,20190114,181500,1971,1977,1971,1976,4310
YNDX,1,20190114,181600,1976,1977.5,1973,1975,646
YNDX,1,20190114,181700,1973.5,1973.5,1973.5,1973.5,2
YNDX,1,20190114,181900,1974.5,1976,1974.5,1976,233
YNDX,1,20190114,182000,1975,1977.5,1975,1977.5,936
YNDX,1,20190114,182100,1976.5,1976.5,1976,1976.5,116
YNDX,1,20190114,182200,1975.5,1975.5,1975,1975,105
YNDX,1,20190114,182400,1975,1977.5,1975,1977.5,300
YNDX,1,20190114,182500,1978,1978.5,1977,1977,403
YNDX,1,20190114,182600,1976,1977.5,1976,1977.5,100
YNDX,1,20190114,182700,1977.5,1978,1977.5,1978,207
YNDX,1,20190114,182800,1978,1981,1978,1980.5,1505
YNDX,1,20190114,182900,1980,1980,1979,1980,81
YNDX,1,20190114,183000,1980,1984,1980,1982.5,1138
YNDX,1,20190114,183100,1984,1997,1984,1991,14401
YNDX,1,20190114,183200,1991,1994,1991,1993,1146
YNDX,1,20190114,183300,1993,1994,1991.5,1993,295
YNDX,1,20190114,183400,1994,1995,1992,1992,1686
