<open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716357660000,0.03147334,0.03167553,0.03146799,0.03166865,0,1716357719999,0,60,0,0,0
1716357720000,0.03168007,0.03173946,0.03166310,0.03171808,0,1716357779999,0,60,0,0,0
1716357780000,0.03171151,0.03177256,0.03167018,0.03176599,0,1716357839999,0,60,0,0,0
1716357840000,0.03176370,0.03180457,0.03174574,0.03180457,0,1716357899999,0,60,0,0,0
1716357900000,0.03180506,0.03184638,0.03180506,0.03182783,0,1716357959999,0,60,0,0,0
1716357960000,0.03182869,0.03192265,0.03180568,0.03192179,0,1716358019999,0,60,0,0,0
1716358020000,0.03192222,0.03196078,0.03189699,0.03194848,0,1716358079999,0,60,0,0,0
1716358080000,0.03193884,0.03210200,0.03193806,0.03210166,0,1716358139999,0,60,0,0,0
1716358140000,0.03210868,0.03211964,0.03208591,0.03209974,0,1716358199999,0,60,0,0,0
1716358200000,0.03209230,0.03209230,0.03188721,0.03188721,0,1716358259999,0,60,0,0,0
1716358260000,0.03186516,0.03196665,0.03183974,0.03195988,0,1716358319999,0,60,0,0,0
1716358320000,0.03196308,0.03197420,0.03192625,0.03196849,0,1716358379999,0,60,0,0,0
1716358380000,0.03196849,0.03198838,0.03195499,0.03198224,0,1716358439999,0,60,0,0,0
1716358440000,0.03198224,0.03201425,0.03197333,0.03199707,0,1716358499999,0,60,0,0,0
1716358500000,0.03199541,0.03201808,0.03195006,0.03195326,0,1716358559999,0,60,0,0,0
1716358560000,0.03195006,0.03208487,0.03195006,0.03208208,0,1716358619999,0,60,0,0,0
1716358620000,0.03208502,0.03213037,0.03208181,0.03210606,0,1716358679999,0,60,0,0,0
1716358680000,0.03210035,0.03210185,0.03205512,0.03205517,0,1716358739999,0,60,0,0,0
1716358740000,0.03205517,0.03206745,0.03200506,0.03205404,0,1716358799999,0,60,0,0,0
1716358800000,0.03204662,0.03207410,0.03203850,0.03203936,0,1716358859999,0,60,0,0,0
1716358860000,0.03204507,0.03218646,0.03203004,0.03216750,0,1716358919999,0,60,0,0,0
1716358920000,0.03216885,0.03217457,0.03206188,0.03206188,0,1716358979999,0,60,0,0,0
1716358980000,0.03204722,0.03204722,0.03199589,0.03203543,0,1716359039999,0,60,0,0,0
1716359040000,0.03203628,0.03206245,0.03192260,0.03193793,0,1716359099999,0,60,0,0,0
1716359100000,0.03193707,0.03193707,0.03186765,0.03187650,0,1716359159999,0,60,0,0,0
1716359160000,0.03187736,0.03198192,0.03187736,0.03198192,0,1716359219999,0,60,0,0,0
1716359220000,0.03197786,0.03197907,0.03187896,0.03187896,0,1716359279999,0,60,0,0,0
1716359280000,0.03188443,0.03196801,0.03187872,0.03194248,0,1716359339999,0,60,0,0,0
1716359340000,0.03194248,0.03197953,0.03194159,0.03194731,0,1716359399999,0,60,0,0,0
